,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
207,vintagebearsnft,"#Solana,#SolanaNFT,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525912210572181505,2022-05-15 18:53:15+00:00
208,WF8_AMC,#Solana,0,0,['@WF8_AMC'],0,https://twitter.com/twitter/statuses/1525912178993537024,2022-05-15 18:53:08+00:00
209,Nftmatx,"#NFT,#NFTs,#NFTGiveaway,#NFTCommunity,#NFTGiveaways,#NFTProject,#NFTdrop,#NFTcollection,#bitcoin",0,0,0,0,https://twitter.com/twitter/statuses/1525912079634518018,2022-05-15 18:52:44+00:00
210,cryptonfti,,0,0,0,0,https://twitter.com/twitter/statuses/1525912028937854980,2022-05-15 18:52:32+00:00
211,NfcStackers,"#AAPE,#AAPES,#AAPEQUEEN",0,0,0,0,https://twitter.com/twitter/statuses/1525912022587777024,2022-05-15 18:52:30+00:00
212,Cryptomatxx,"#NFT,#NFTs,#NFTGiveaway,#NFTCommunity,#NFTGiveaways,#NFTProject,#NFTdrop,#NFTcollection,#bitcoin",0,0,0,0,https://twitter.com/twitter/statuses/1525911890777579525,2022-05-15 18:51:59+00:00
213,FreemanDunhill,"#NFTs,#Cryptos,#Eurovision,#NFTCommunity,#NFTGiveaways,#CryptoNews",0,0,0,0,https://twitter.com/twitter/statuses/1525911797303214080,2022-05-15 18:51:37+00:00
214,UnusualEss,,0,0,0,0,https://twitter.com/twitter/statuses/1525911791695429637,2022-05-15 18:51:35+00:00
215,mrtmanjones,,0,0,0,0,https://twitter.com/twitter/statuses/1525911690063319045,2022-05-15 18:51:11+00:00
216,Ibrardidthis,"#NFTCommunity,#NFT,#NFTs,#nftart,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525911656462569472,2022-05-15 18:51:03+00:00
217,legend_9911,"#nft,#NFTGiveaways,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525911631061929984,2022-05-15 18:50:57+00:00
218,nftuniqqvariant,"#NFTs,#NFTGiveaways,#NFTdrop,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525911527848804352,2022-05-15 18:50:32+00:00
219,jakebalchNFT,"#NFTdrop,#HODLing",0,0,0,0,https://twitter.com/twitter/statuses/1525911475633762305,2022-05-15 18:50:20+00:00
220,BoredApeGangNFT,"#NFTCommunity,#NFTs,#NFTGiveaways,#NFTdrop,#NFTProject",0,0,@BoredApeGangNFT,0,https://twitter.com/twitter/statuses/1525911467421503488,2022-05-15 18:50:18+00:00
